,Source_ID,source_ra,source_dec,source_z,source_object_id,source_mag_g,source_mag_r,source_mag_i,lens_ra,lens_dec,lens_mag_i,lens_mag_r,lens_mag_g,lens_vdisp,lens_z,lens_id,Theta_E,lens_vdisp_ori
3924,20148878,150.22845709999999,2.5088117999999997,3.4236,43158605939081248,24.02542110000001,23.0187073,22.7687645,7.99218,-49.123837,19.357,19.8794,21.3493,295.8677120000001,0.30092911,1774311,2.072240757092548,211.33408000000003
6926,20040630,150.033324,1.8811962,2.6397,43158726198200600,23.6136532,23.0345345,22.935276,332.16840299999996,-42.062532,20.3911,21.1931,23.1122,345.046448,0.47702264,23153409,2.387843508338813,215.65402999999998
944,20045249,149.8385249,1.8290224999999998,4.2924,43158863637122696,25.395998000000002,23.6552544,23.020553600000003,54.94270600000001,-26.684532,20.3757,21.4027,23.1143,255.483569,0.55558799,13065122,1.3506376108849276,232.25779
430,20136670,150.597216,2.615907,2.45,43158331061208016,23.6597157,23.39681430000001,23.3275032,49.021827,-19.995422,20.9299,21.5592,23.3102,246.72826919999997,0.44084073,11406730,1.237963222164732,205.606891
6214,20165854,150.7102135,2.6383924,2.8335,43158331061181008,22.836891199999997,22.364498100000002,22.0234547,66.193983,-44.82643,19.3092,19.8696,21.513,322.12073399999997,0.3435344,16284248,2.334520219991604,247.78517999999997
8612,20020193,149.789763,1.7232929,4.1732,43158859342187984,25.5507164,23.940237,23.3384857,20.778617,-36.285776,20.8721,22.0022,23.9861,375.00966399999993,0.6656896,4531139,2.7097216716101364,234.38104
9133,20135261,150.7135843,2.5610153,3.4,43158331061202096,24.742836,23.6571484,23.4835701,96.545578,-59.697948,19.5306,20.1862,21.7913,350.069115,0.33087805,19930460,2.8414998280181454,233.37941
9890,20007944,150.4746179,1.7534317,1.9602,43158447025331552,23.4219494,23.2495079,23.1970425,358.42541,-38.742272,19.4374,20.0356,21.7754,376.59736000000004,0.35331485,24918571,2.976362676536368,235.37335
5725,20135261,150.7135843,2.5610153,3.4,43158331061202096,24.742836,23.6571484,23.4835701,11.426052,-48.559443,20.9024,22.0605,24.031,344.66801200000015,0.64328802,4175568,2.226570668384346,265.12924000000004
6986,20059417,150.4420321,2.0008791,2.5074,43158455615254704,23.6404648,23.3177795,23.322360999999997,12.439786,-21.916298,19.8233,20.5269,22.238000000000003,338.14777599999996,0.4117377399999999,2743489,2.392842765425608,211.34236
